Localidad,Estudiantes,Latitud,Longitud
Chapinero,263,4.683132,-74.118
Usaquén,228,4.683132,-74.146295
Chapinero,311,4.648283,-74.118
Chapinero,100,4.748477,-74.057005
Suba,328,4.693419,-74.057005
Usaquén,210,4.648283,-74.057005
Usaquén,225,4.678601,-74.146295
Engativá,488,4.683132,-74.118
Fontibón,365,4.748477,-74.030012
Engativá,478,4.748477,-74.118
Engativá,192,4.678601,-74.030012
Engativá,240,4.648283,-74.146295
Chapinero,250,4.693419,-74.146295
Suba,200,4.678601,-74.146295
Engativá,321,4.678601,-74.118
Fontibón,223,4.693419,-74.146295
Chapinero,340,4.683132,-74.146295
Chapinero,84,4.678601,-74.030012
Usaquén,241,4.678601,-74.057005
Suba,471,4.693419,-74.030012
Fontibón,408,4.748477,-74.103209
Usaquén,128,4.678601,-74.146295
Fontibón,474,4.678601,-74.118
Usaquén,170,4.648283,-74.146295
Engativá,403,4.683132,-74.118
Suba,72,4.748477,-74.118
Usaquén,108,4.693419,-74.103209
Usaquén,87,4.748477,-74.118
Chapinero,458,4.683132,-74.057005
Usaquén,435,4.678601,-74.057005
Usaquén,361,4.748477,-74.057005
Suba,85,4.678601,-74.118
Engativá,358,4.748477,-74.103209
Usaquén,172,4.693419,-74.118
Usaquén,468,4.693419,-74.146295
Usaquén,235,4.678601,-74.146295
Fontibón,469,4.648283,-74.103209
Engativá,369,4.648283,-74.057005
Usaquén,462,4.683132,-74.103209
Engativá,185,4.683132,-74.118
Chapinero,292,4.748477,-74.030012
Fontibón,64,4.693419,-74.118
Suba,64,4.683132,-74.146295
Suba,55,4.678601,-74.057005
Chapinero,111,4.648283,-74.146295
Usaquén,304,4.648283,-74.030012
Engativá,86,4.678601,-74.146295
Usaquén,474,4.678601,-74.030012
Suba,465,4.648283,-74.103209
Fontibón,310,4.678601,-74.146295
Chapinero,405,4.648283,-74.030012
Usaquén,250,4.678601,-74.057005
Engativá,146,4.748477,-74.057005
Suba,294,4.693419,-74.057005
Chapinero,128,4.683132,-74.118
Fontibón,223,4.748477,-74.146295
Chapinero,286,4.683132,-74.103209
Engativá,414,4.748477,-74.146295
Engativá,142,4.748477,-74.057005
Chapinero,267,4.683132,-74.030012
Engativá,468,4.683132,-74.103209
Engativá,232,4.678601,-74.146295
Fontibón,138,4.748477,-74.146295
Fontibón,431,4.678601,-74.146295
Usaquén,168,4.683132,-74.103209
Usaquén,355,4.693419,-74.057005
Chapinero,391,4.693419,-74.146295
Suba,110,4.678601,-74.103209
Suba,421,4.693419,-74.030012
Suba,436,4.693419,-74.118
Chapinero,309,4.683132,-74.030012
Usaquén,402,4.748477,-74.057005
Fontibón,271,4.678601,-74.030012
Chapinero,259,4.748477,-74.146295
Engativá,69,4.748477,-74.103209
Usaquén,323,4.748477,-74.118
Engativá,266,4.683132,-74.030012
Engativá,290,4.683132,-74.057005
Chapinero,161,4.648283,-74.030012
Suba,357,4.748477,-74.057005
Fontibón,263,4.678601,-74.118
Fontibón,375,4.748477,-74.030012
Usaquén,107,4.748477,-74.057005
Chapinero,159,4.648283,-74.146295
Chapinero,262,4.648283,-74.118
Fontibón,106,4.693419,-74.103209
Fontibón,181,4.683132,-74.030012
Usaquén,426,4.678601,-74.103209
Chapinero,442,4.693419,-74.057005
Suba,500,4.748477,-74.146295
Fontibón,257,4.693419,-74.057005
Usaquén,256,4.648283,-74.118
Chapinero,186,4.748477,-74.146295
Fontibón,444,4.748477,-74.103209
Engativá,408,4.678601,-74.118
Suba,282,4.748477,-74.057005
Usaquén,414,4.648283,-74.146295
Suba,188,4.678601,-74.057005
Usaquén,50,4.748477,-74.030012
Usaquén,107,4.693419,-74.118
Engativá,271,4.693419,-74.057005
Fontibón,374,4.683132,-74.103209
Usaquén,181,4.693419,-74.030012
Engativá,383,4.748477,-74.146295
Engativá,424,4.748477,-74.030012
Usaquén,302,4.678601,-74.103209
Suba,187,4.648283,-74.057005
Engativá,68,4.678601,-74.057005
Engativá,64,4.683132,-74.030012
Fontibón,123,4.648283,-74.030012
Usaquén,486,4.648283,-74.057005
Suba,417,4.748477,-74.030012
Chapinero,431,4.748477,-74.030012
Suba,124,4.683132,-74.146295
Suba,405,4.683132,-74.057005
Fontibón,442,4.648283,-74.057005
Usaquén,150,4.648283,-74.057005
Usaquén,150,4.648283,-74.030012
Suba,279,4.678601,-74.103209
Engativá,369,4.648283,-74.103209
Chapinero,420,4.678601,-74.057005
Usaquén,334,4.648283,-74.118
Chapinero,289,4.648283,-74.057005
Fontibón,309,4.748477,-74.146295
Fontibón,438,4.748477,-74.103209
Chapinero,251,4.748477,-74.118
Chapinero,179,4.683132,-74.146295
Chapinero,250,4.693419,-74.118
Engativá,258,4.678601,-74.146295
Usaquén,450,4.748477,-74.118
Usaquén,382,4.648283,-74.146295
Usaquén,319,4.693419,-74.030012
Usaquén,235,4.678601,-74.103209
Suba,215,4.748477,-74.057005
Engativá,279,4.678601,-74.030012
Chapinero,364,4.648283,-74.057005
Usaquén,286,4.678601,-74.103209
Fontibón,248,4.693419,-74.118
Usaquén,148,4.693419,-74.103209
Suba,337,4.693419,-74.118
Usaquén,289,4.693419,-74.103209
Fontibón,381,4.748477,-74.030012
Chapinero,395,4.748477,-74.057005
Suba,412,4.648283,-74.118
Usaquén,270,4.648283,-74.146295
Engativá,308,4.678601,-74.146295
Fontibón,433,4.693419,-74.030012
Suba,68,4.693419,-74.146295
Fontibón,138,4.648283,-74.118
Usaquén,363,4.678601,-74.118
Suba,262,4.683132,-74.103209
Suba,479,4.648283,-74.030012
Chapinero,500,4.678601,-74.146295
Engativá,252,4.748477,-74.057005
Chapinero,302,4.693419,-74.030012
Engativá,440,4.748477,-74.146295
Engativá,238,4.648283,-74.103209
Engativá,223,4.693419,-74.146295
Usaquén,350,4.683132,-74.146295
Chapinero,390,4.683132,-74.146295
Chapinero,402,4.683132,-74.030012
Chapinero,132,4.683132,-74.057005
Suba,64,4.748477,-74.146295
Usaquén,316,4.678601,-74.030012
Usaquén,71,4.748477,-74.118
Suba,239,4.648283,-74.030012
Engativá,453,4.678601,-74.118
Suba,442,4.648283,-74.030012
Engativá,108,4.693419,-74.057005
Fontibón,367,4.683132,-74.057005
Chapinero,108,4.693419,-74.103209
Suba,462,4.683132,-74.057005
Engativá,343,4.678601,-74.146295
Engativá,152,4.683132,-74.057005
Fontibón,62,4.693419,-74.146295
Chapinero,319,4.748477,-74.146295
Engativá,310,4.683132,-74.057005
Engativá,419,4.678601,-74.146295
Fontibón,406,4.648283,-74.057005
Usaquén,163,4.693419,-74.118
Suba,294,4.648283,-74.118
Suba,379,4.648283,-74.057005
Fontibón,490,4.683132,-74.030012
Engativá,95,4.648283,-74.146295
Fontibón,141,4.678601,-74.146295
Fontibón,321,4.683132,-74.057005
Engativá,259,4.693419,-74.057005
Usaquén,499,4.678601,-74.057005
Suba,267,4.693419,-74.103209
Engativá,112,4.648283,-74.030012
Chapinero,467,4.678601,-74.146295
Usaquén,475,4.648283,-74.057005
Chapinero,307,4.683132,-74.146295
Engativá,320,4.748477,-74.057005
Chapinero,288,4.748477,-74.146295
Chapinero,297,4.748477,-74.146295
Usaquén,203,4.693419,-74.057005
Chapinero,67,4.748477,-74.030012
Chapinero,316,4.678601,-74.118
Fontibón,425,4.648283,-74.118
Usaquén,117,4.683132,-74.118
Usaquén,489,4.648283,-74.146295
Suba,67,4.683132,-74.103209
Suba,221,4.748477,-74.103209
Suba,145,4.683132,-74.118
Engativá,77,4.693419,-74.118
Fontibón,310,4.748477,-74.146295
Fontibón,131,4.748477,-74.146295
Engativá,379,4.748477,-74.103209
Suba,373,4.693419,-74.118
Suba,402,4.648283,-74.030012
Chapinero,107,4.648283,-74.103209
Chapinero,82,4.648283,-74.146295
Fontibón,212,4.683132,-74.146295
Chapinero,172,4.683132,-74.057005
Usaquén,261,4.648283,-74.030012
Usaquén,228,4.683132,-74.030012
Engativá,68,4.683132,-74.030012
Usaquén,57,4.748477,-74.103209
Fontibón,369,4.748477,-74.030012
Fontibón,159,4.678601,-74.118
Fontibón,88,4.678601,-74.057005
Fontibón,445,4.678601,-74.030012
Chapinero,494,4.648283,-74.030012
Fontibón,473,4.648283,-74.057005
Fontibón,181,4.678601,-74.118
Fontibón,330,4.693419,-74.103209
Usaquén,470,4.648283,-74.057005
Fontibón,279,4.748477,-74.030012
Suba,450,4.693419,-74.030012
Suba,109,4.678601,-74.118
Usaquén,144,4.678601,-74.118
Engativá,334,4.648283,-74.103209
Fontibón,66,4.683132,-74.030012
Engativá,266,4.693419,-74.146295
Suba,188,4.748477,-74.118
Engativá,339,4.683132,-74.030012
Chapinero,328,4.648283,-74.057005
Chapinero,131,4.693419,-74.103209
Usaquén,387,4.748477,-74.057005
Usaquén,278,4.693419,-74.118
Chapinero,287,4.683132,-74.057005
Fontibón,407,4.693419,-74.118
Suba,330,4.748477,-74.118
Chapinero,229,4.678601,-74.118
Suba,394,4.648283,-74.103209
Suba,311,4.748477,-74.030012
Engativá,416,4.683132,-74.146295
Suba,213,4.678601,-74.118
Chapinero,481,4.678601,-74.118
Suba,464,4.678601,-74.057005
Engativá,359,4.683132,-74.146295
Fontibón,362,4.648283,-74.057005
Suba,70,4.648283,-74.030012
Suba,123,4.678601,-74.146295
Suba,258,4.683132,-74.146295
Suba,165,4.678601,-74.146295
Suba,160,4.693419,-74.057005
Chapinero,263,4.648283,-74.103209
Usaquén,432,4.648283,-74.146295
Engativá,232,4.678601,-74.057005
Suba,162,4.678601,-74.103209
Suba,287,4.648283,-74.057005
Usaquén,254,4.683132,-74.118
Fontibón,209,4.693419,-74.030012
Fontibón,367,4.648283,-74.030012
Usaquén,56,4.748477,-74.118
Usaquén,129,4.693419,-74.146295
Engativá,477,4.678601,-74.057005
Fontibón,117,4.748477,-74.146295
Suba,385,4.648283,-74.057005
Chapinero,403,4.683132,-74.030012
Fontibón,249,4.648283,-74.118
Suba,341,4.648283,-74.146295
Fontibón,61,4.748477,-74.103209
Fontibón,220,4.748477,-74.030012
Chapinero,309,4.748477,-74.118
Chapinero,352,4.678601,-74.146295
Engativá,306,4.648283,-74.118
Suba,417,4.683132,-74.103209
Chapinero,432,4.648283,-74.118
Chapinero,270,4.683132,-74.103209
Fontibón,70,4.683132,-74.103209
Fontibón,108,4.748477,-74.030012
Usaquén,428,4.693419,-74.103209
Fontibón,191,4.693419,-74.057005
Suba,233,4.748477,-74.118
Usaquén,362,4.683132,-74.146295
Usaquén,383,4.648283,-74.118
Chapinero,386,4.678601,-74.146295
Fontibón,331,4.678601,-74.103209
Usaquén,108,4.683132,-74.057005
Engativá,469,4.748477,-74.057005
Usaquén,484,4.683132,-74.057005
Engativá,327,4.648283,-74.118
Suba,466,4.683132,-74.057005
Suba,137,4.678601,-74.146295
Usaquén,146,4.648283,-74.146295
Fontibón,437,4.648283,-74.030012
Engativá,403,4.693419,-74.103209
Usaquén,293,4.748477,-74.057005
Chapinero,440,4.748477,-74.118
Suba,220,4.693419,-74.146295
Usaquén,100,4.678601,-74.146295
Fontibón,443,4.748477,-74.057005
Chapinero,276,4.683132,-74.118
Chapinero,183,4.678601,-74.030012
Fontibón,374,4.678601,-74.103209
Usaquén,409,4.748477,-74.146295
Engativá,211,4.748477,-74.103209
Chapinero,282,4.748477,-74.146295
Usaquén,104,4.648283,-74.146295
Chapinero,141,4.683132,-74.118
Suba,69,4.693419,-74.030012
Chapinero,253,4.678601,-74.146295
Usaquén,384,4.678601,-74.103209
Suba,267,4.683132,-74.103209
Engativá,387,4.683132,-74.146295
Chapinero,320,4.648283,-74.030012
Engativá,392,4.648283,-74.118
Fontibón,179,4.648283,-74.118
Usaquén,202,4.748477,-74.103209
Chapinero,171,4.678601,-74.057005
Chapinero,243,4.648283,-74.103209
Fontibón,286,4.748477,-74.030012
Fontibón,447,4.748477,-74.057005
Usaquén,163,4.683132,-74.146295
Engativá,323,4.748477,-74.103209
Usaquén,184,4.678601,-74.118
Suba,337,4.648283,-74.057005
Fontibón,122,4.678601,-74.103209
Usaquén,419,4.678601,-74.103209
Engativá,383,4.693419,-74.030012
Fontibón,113,4.693419,-74.118
Chapinero,249,4.693419,-74.118
Engativá,429,4.683132,-74.118
Fontibón,470,4.748477,-74.030012
Chapinero,427,4.748477,-74.146295
Fontibón,280,4.648283,-74.118
Suba,133,4.693419,-74.146295
Suba,473,4.648283,-74.103209
Suba,281,4.748477,-74.103209
Suba,456,4.678601,-74.057005
Suba,471,4.748477,-74.030012
Usaquén,81,4.693419,-74.057005
Fontibón,240,4.683132,-74.146295
Suba,392,4.693419,-74.103209
Fontibón,325,4.748477,-74.146295
Engativá,90,4.678601,-74.030012
Usaquén,422,4.683132,-74.103209
Fontibón,200,4.683132,-74.118
Fontibón,381,4.678601,-74.057005
Usaquén,206,4.748477,-74.118
Suba,188,4.678601,-74.057005
Suba,50,4.748477,-74.030012
Usaquén,433,4.678601,-74.103209
Usaquén,232,4.748477,-74.103209
Suba,103,4.693419,-74.118
Suba,189,4.648283,-74.057005
Suba,258,4.748477,-74.118
Chapinero,197,4.693419,-74.103209
Suba,320,4.678601,-74.103209
Fontibón,438,4.683132,-74.146295
Engativá,228,4.678601,-74.030012
Suba,67,4.678601,-74.103209
Engativá,247,4.678601,-74.118
Chapinero,208,4.678601,-74.146295
Suba,424,4.648283,-74.118
Suba,461,4.683132,-74.146295
Engativá,73,4.678601,-74.030012
Chapinero,493,4.693419,-74.103209
Engativá,173,4.748477,-74.030012
Chapinero,79,4.683132,-74.146295
Engativá,160,4.683132,-74.103209
Chapinero,436,4.648283,-74.057005
Suba,367,4.748477,-74.057005
Suba,265,4.683132,-74.118
Usaquén,196,4.683132,-74.146295
Engativá,488,4.678601,-74.118
Fontibón,265,4.678601,-74.057005
Chapinero,249,4.648283,-74.118
Usaquén,470,4.678601,-74.030012
Fontibón,352,4.678601,-74.057005
Suba,229,4.678601,-74.030012
Chapinero,275,4.648283,-74.057005
Chapinero,377,4.678601,-74.146295
Suba,287,4.693419,-74.030012
Suba,376,4.678601,-74.118
Chapinero,469,4.683132,-74.103209
Suba,268,4.683132,-74.030012
Usaquén,113,4.748477,-74.146295
Suba,431,4.693419,-74.146295
Engativá,282,4.748477,-74.118
Suba,395,4.648283,-74.118
Engativá,145,4.693419,-74.118
Engativá,418,4.693419,-74.103209
Fontibón,245,4.678601,-74.030012
Engativá,291,4.683132,-74.030012
Suba,334,4.693419,-74.118
Chapinero,216,4.678601,-74.118
Suba,192,4.678601,-74.146295
Engativá,481,4.748477,-74.030012
Chapinero,164,4.748477,-74.118
Suba,498,4.748477,-74.103209
Fontibón,70,4.693419,-74.118
Engativá,108,4.678601,-74.030012
Engativá,142,4.678601,-74.057005
Usaquén,252,4.678601,-74.103209
Chapinero,141,4.748477,-74.146295
Usaquén,172,4.748477,-74.146295
Fontibón,245,4.678601,-74.103209
Usaquén,198,4.748477,-74.118
Engativá,301,4.683132,-74.103209
Usaquén,230,4.683132,-74.146295
Usaquén,77,4.678601,-74.146295
Fontibón,53,4.748477,-74.103209
Usaquén,301,4.648283,-74.146295
Suba,384,4.678601,-74.103209
Usaquén,127,4.683132,-74.030012
Engativá,321,4.648283,-74.057005
Usaquén,315,4.693419,-74.118
Usaquén,79,4.683132,-74.146295
Suba,396,4.678601,-74.103209
Engativá,424,4.683132,-74.103209
Chapinero,132,4.683132,-74.057005
Usaquén,244,4.693419,-74.146295
Usaquén,165,4.748477,-74.030012
Usaquén,396,4.683132,-74.146295
Suba,179,4.693419,-74.118
Fontibón,433,4.678601,-74.146295
Fontibón,257,4.648283,-74.103209
Suba,70,4.678601,-74.146295
Chapinero,478,4.748477,-74.118
Usaquén,197,4.678601,-74.103209
Suba,90,4.678601,-74.118
Engativá,278,4.748477,-74.057005
Fontibón,176,4.678601,-74.030012
Usaquén,355,4.693419,-74.146295
Engativá,433,4.683132,-74.118
Chapinero,150,4.648283,-74.146295
Suba,105,4.693419,-74.057005
Usaquén,188,4.748477,-74.146295
Fontibón,236,4.683132,-74.146295
Usaquén,420,4.748477,-74.057005
Usaquén,447,4.693419,-74.030012
Chapinero,196,4.748477,-74.030012
Suba,440,4.678601,-74.030012
Chapinero,154,4.748477,-74.103209
Suba,474,4.693419,-74.146295
Engativá,156,4.678601,-74.030012
Suba,353,4.693419,-74.103209
Chapinero,213,4.683132,-74.030012
Usaquén,267,4.678601,-74.030012
Fontibón,71,4.678601,-74.057005
Fontibón,229,4.678601,-74.118
Suba,498,4.678601,-74.103209
Fontibón,478,4.748477,-74.103209
Engativá,370,4.748477,-74.103209
Usaquén,186,4.678601,-74.103209
Suba,145,4.648283,-74.146295
Usaquén,298,4.683132,-74.118
Fontibón,96,4.748477,-74.146295
Chapinero,475,4.678601,-74.057005
Usaquén,356,4.683132,-74.103209
Fontibón,439,4.648283,-74.057005
Usaquén,377,4.748477,-74.030012
Usaquén,181,4.748477,-74.118
Suba,446,4.693419,-74.118
Fontibón,438,4.648283,-74.103209
Usaquén,395,4.648283,-74.057005
Suba,448,4.683132,-74.030012
Chapinero,446,4.678601,-74.118
Fontibón,156,4.748477,-74.057005
Fontibón,139,4.683132,-74.030012
Usaquén,498,4.648283,-74.118
Engativá,456,4.748477,-74.057005
Chapinero,329,4.678601,-74.146295
Suba,332,4.683132,-74.146295
Usaquén,174,4.693419,-74.030012
Engativá,135,4.678601,-74.057005
Suba,241,4.683132,-74.118
Chapinero,140,4.648283,-74.118
Engativá,140,4.678601,-74.030012
Chapinero,470,4.693419,-74.057005
Engativá,161,4.648283,-74.030012
Usaquén,111,4.748477,-74.118
Usaquén,256,4.648283,-74.103209
Usaquén,435,4.678601,-74.057005
Fontibón,227,4.678601,-74.146295
Fontibón,302,4.683132,-74.103209
Chapinero,336,4.678601,-74.057005
Chapinero,107,4.748477,-74.118
Engativá,446,4.693419,-74.057005
Usaquén,465,4.693419,-74.118
Chapinero,62,4.693419,-74.030012
Suba,315,4.748477,-74.146295
Suba,173,4.678601,-74.103209
Usaquén,349,4.693419,-74.030012
Chapinero,188,4.748477,-74.103209
Usaquén,141,4.748477,-74.057005
Chapinero,105,4.693419,-74.057005
Usaquén,466,4.648283,-74.103209
Engativá,52,4.683132,-74.118
Fontibón,95,4.648283,-74.057005
Engativá,51,4.693419,-74.103209
Suba,379,4.648283,-74.057005
Engativá,131,4.678601,-74.030012
Usaquén,180,4.683132,-74.057005
Engativá,335,4.678601,-74.030012
Usaquén,99,4.693419,-74.146295
Suba,206,4.748477,-74.057005
Fontibón,473,4.678601,-74.146295
Usaquén,484,4.678601,-74.030012
Suba,148,4.678601,-74.030012
Usaquén,262,4.648283,-74.030012
Chapinero,305,4.693419,-74.030012
Suba,310,4.678601,-74.030012
Usaquén,182,4.678601,-74.057005
Engativá,245,4.648283,-74.057005
Fontibón,299,4.683132,-74.103209
Usaquén,214,4.693419,-74.146295
Usaquén,110,4.683132,-74.118
Suba,128,4.648283,-74.118
Engativá,481,4.678601,-74.103209
Usaquén,280,4.693419,-74.030012
Chapinero,263,4.748477,-74.030012
Fontibón,88,4.683132,-74.146295
Chapinero,232,4.683132,-74.118
Chapinero,456,4.648283,-74.118
Chapinero,364,4.748477,-74.118
Suba,349,4.683132,-74.103209
Chapinero,281,4.648283,-74.057005
Engativá,164,4.748477,-74.103209
Usaquén,170,4.748477,-74.057005
Usaquén,93,4.748477,-74.118
